46,"2-комн. квартира, 95 м²",37900000,Тропарево-Никулино,Тропарево ,7,95,12,22,Дизайнерский,2003,Монолитный
47,"2-комн. квартира, 78,9 м²",55000000,Тверской,Трубная ,4,78,3,5,Дизайнерский,2009,Монолитный
48,"2-комн. квартира, 112 м²",68000000,Тверской,Маяковская ,3,112,4,10,Дизайнерский,2008,Монолитный
49,"2-комн. квартира, 64 м²",75000000,Хамовники,Кропоткинская ,5,64,2,5,Дизайнерский,2009,Монолитный
50,"2-комн. квартира, 110 м²",78500000,Хамовники,Фрунзенская ,3,110,3,13,Евроремонт,2014,Монолитный
51,"2-комн. квартира, 51,8 м²",7460000,Некрасовка,Некрасовка ,5,51,6,17,Косметический,2011,Монолитный
52,"2-комн. квартира, 50 м²",7700000,Вешняки,Косино ,6,50,1,17,Косметический,1997,Панельный
53,"2-комн. квартира, 45,2 м²",7750000,Ховрино,Ховрино ,12,45,8,12,Косметический,1966,Блочный
54,"2-комн. квартира, 52 м²",8100000,Косино-Ухтомский,Лухмановская ,5,52,11,14,Косметический,2006,Панельный
55,"2-комн. квартира, 44,3 м²",10200000,Марьина роща,Савеловская ,3,44,9,9,Косметический,1970,Панельный
56,"2-комн. квартира, 48,1 м²",11300000,Хорошевский,Сокол ,5,48,2,10,Косметический,1974,Блочный
57,"2-комн. квартира, 58,4 м²",12200000,Тимирязевский,Тимирязевская ,10,58,5,8,Косметический,1960,Панельный
58,"2-комн. квартира, 60 м²",13500000,Басманный,Бауманская ,10,60,9,9,Косметический,1959,Кирпичный
59,"2-комн. квартира, 63 м²",13600000,Очаково-Матвеевское,Мичуринский проспект ,20,63,9,14,Косметический,2011,Панельный
60,"2-комн. квартира, 47,4 м²",13900000,Теплый Стан,Тропарево ,4,47,14,16,Евроремонт,2011,Кирпичный
61,"2-комн. квартира, 59,54 м²",14058000,Можайский,Кунцевская ,29,59,22,23,Евроремонт,2019,Монолитный
62,"2-комн. квартира, 55 м²",13990000,Таганский,Пролетарская ,3,55,14,17,Евроремонт,1989,Панельный
63,"2-комн. квартира, 50,7 м²",15800000,Бутырский,Фонвизинская ,1,50,21,25,Дизайнерский,2003,Монолитный
64,"2-комн. квартира, 76 м²",16950000,Выхино-Жулебино,Жулебино ,8,76,24,24,Дизайнерский,2009,Монолитный
65,"2-комн. квартира, 56 м²",20000000,Дорогомилово,Киевская ,10,56,3,8,Евроремонт,1955,Кирпичный
66,"2-комн. квартира, 97 м²",21900000,Можайский,Славянский бульвар ,4,97,16,26,Евроремонт,2001,Монолитный
67,"2-комн. квартира, 73,6 м²",24499000,Измайлово,Первомайская ,3,73,6,22,Евроремонт,2010,Монолитный
68,"2-комн. квартира, 76 м²",29000000,Хорошевский,ЦСКА ,15,76,4,10,Евроремонт,2006,Монолитный
69,"2-комн. квартира, 88 м²",46429275,Очаково-Матвеевское,Славянский бульвар ,15,88,18,31,Дизайнерский,2008,Монолитный
70,"2-комн. квартира, 60 м²",14500000,Можайский,Молодежная ,15,60,7,18,Дизайнерский,2007,Монолитный
71,"2-комн. квартира, 45 м²",6700000,Южное Бутово,Улица Скобелевская ,6,45,6,9,Косметический,1979,Панельный
72,"2-комн. квартира, 34,1 м²",6800000,,Коммунарка ,8,34,6,22,Евроремонт,2016,Блочный
73,"2-комн. квартира, 32 м²",6890000,,Ольховая ,17,32,13,22,Дизайнерский,2016,Блочный
74,"2-комн. квартира, 39 м²",6990000,Царицыно,Царицыно ,5,39,12,12,Косметический,1968,Блочный
75,"2-комн. квартира, 44,3 м²",7100000,Чертаново Южное,Пражская ,10,44,12,12,Косметический,1972,Панельный
76,"2-комн. квартира, 44 м²",7200000,Лосиноостровский,Медведково ,3,44,8,9,Косметический,1970,Панельный
77,"2-комн. квартира, 45,2 м²",7350000,Северное Измайлово,Щелковская ,3,45,4,9,Косметический,1967,Панельный
78,"2-комн. квартира, 40,6 м²",7700000,Ясенево,Ясенево ,15,40,5,9,Косметический,1978,Панельный
79,"2-комн. квартира, 44 м²",7700000,Гольяново,Щелковская ,14,44,5,9,Евроремонт,1967,Кирпичный
80,"2-комн. квартира, 41,2 м²",7750000,Соколиная гора,Семеновская ,9,41,4,14,Косметический,1970,Блочный
81,"2-комн. квартира, 58,4 м²",7800000,Некрасовка,Некрасовка ,5,58,24,25,Косметический,2016,Панельный
82,"2-комн. квартира, 52 м²",8583000,Западное Дегунино,Ховрино ,20,52,16,17,Косметический,2003,Панельный
83,"2-комн. квартира, 42 м²",8700000,Северное Тушино,Сходненская ,20,42,12,12,Евроремонт,1968,Блочный
84,"2-комн. квартира, 44 м²",8740000,Алексеевский,ВДНХ ,14,44,2,5,Евроремонт,1959,Кирпичный
85,"2-комн. квартира, 48 м²",8700000,Отрадное,Отрадное ,9,48,4,9,Косметический,1979,Панельный
86,"2-комн. квартира, 53 м²",8650000,Зябликово,Шипиловская ,7,53,9,12,Евроремонт,1979,Панельный
87,"2-комн. квартира, 54 м²",8790000,Восточное Дегунино,Селигерская ,20,54,1,16,Косметический,1980,Панельный
88,"2-комн. квартира, 57,9 м²",9100000,Восточное Дегунино,Селигерская ,4,57,1,17,Евроремонт,1993,Панельный
89,"2-комн. квартира, 53,5 м²",9200000,Войковский,Войковская ,11,53,1,17,Косметический,1998,Монолитный
90,"2-комн. квартира, 55 м²",9200000,Новокосино,Новокосино ,11,55,3,17,Евроремонт,1990,Монолитный
91,"2-комн. квартира, 54 м²",9350000,Выхино-Жулебино,Выхино ,14,54,2,14,Евроремонт,1996,Монолитный
92,"2-комн. квартира, 60 м²",9500000,Богородское,Бульвар Рокоссовского ,5,60,1,6,Косметический,1960,Кирпичный
93,"2-комн. квартира, 45 м²",9500000,Марьина роща,Савеловская ,10,45,4,14,Косметический,1977,Блочный
